Vivado Simulator 2018.1
Time resolution is 1 ps
 Time Clk Rstb Valid Ready Last Data
       0.0ns 0 0 0 1 0 00000000000000000000000000000000
      50.0ns 1 0 0 1 0 00000000000000000000000000000000
     100.0ns 0 0 0 1 0 00000000000000000000000000000000
     150.0ns 1 0 0 1 0 00000000000000000000000000000000
     200.0ns 0 0 0 1 0 00000000000000000000000000000000
     250.0ns 1 0 0 1 0 00000000000000000000000000000000
     300.0ns 0 0 0 1 0 00000000000000000000000000000000
     350.0ns 1 0 0 1 0 00000000000000000000000000000000
     400.0ns 0 0 0 1 0 00000000000000000000000000000000
     450.0ns 1 0 0 1 0 00000000000000000000000000000000
     500.0ns 0 0 0 1 0 00000000000000000000000000000000
     550.0ns 1 0 0 1 0 00000000000000000000000000000000
     600.0ns 0 0 0 1 0 00000000000000000000000000000000
     650.0ns 1 0 0 1 0 00000000000000000000000000000000
     700.0ns 0 0 0 1 0 00000000000000000000000000000000
     750.0ns 1 0 0 1 0 00000000000000000000000000000000
     800.0ns 0 0 0 1 0 00000000000000000000000000000000
     850.0ns 1 0 0 1 0 00000000000000000000000000000000
     900.0ns 0 0 0 1 0 00000000000000000000000000000000
     950.0ns 1 0 0 1 0 00000000000000000000000000000000
    1000.0ns 0 0 0 1 0 00000000000000000000000000000000
 Time Clk Rstb Valid Ready Last Data
       0.0ns 0 0 0 1 0 00000000000000000000000000000000
      50.0ns 1 0 0 1 0 00000000000000000000000000000000
     100.0ns 0 0 0 1 0 00000000000000000000000000000000
     150.0ns 1 0 0 1 0 00000000000000000000000000000000
     200.0ns 0 0 0 1 0 00000000000000000000000000000000
     250.0ns 1 0 0 1 0 00000000000000000000000000000000
     300.0ns 0 0 0 1 0 00000000000000000000000000000000
     350.0ns 1 0 0 1 0 00000000000000000000000000000000
     400.0ns 0 0 0 1 0 00000000000000000000000000000000
     450.0ns 1 0 0 1 0 00000000000000000000000000000000
     500.0ns 0 0 0 1 0 00000000000000000000000000000000
     550.0ns 1 0 0 1 0 00000000000000000000000000000000
     600.0ns 0 0 0 1 0 00000000000000000000000000000000
     650.0ns 1 0 0 1 0 00000000000000000000000000000000
     700.0ns 0 0 0 1 0 00000000000000000000000000000000
     750.0ns 1 0 0 1 0 00000000000000000000000000000000
     800.0ns 0 0 0 1 0 00000000000000000000000000000000
     850.0ns 1 0 0 1 0 00000000000000000000000000000000
     900.0ns 0 0 0 1 0 00000000000000000000000000000000
     950.0ns 1 0 0 1 0 00000000000000000000000000000000
    1000.0ns 0 0 0 1 0 00000000000000000000000000000000
    1050.0ns 1 0 0 1 0 00000000000000000000000000000000
