Vivado Simulator 2018.1
Time resolution is 1 ps
 Time Clk Rstb Valid Ready Last Data
       0.0ns 0 0 0 1 0 00000000000000000000000000000000
       5.0ns 1 0 0 1 0 00000000000000000000000000000000
      10.0ns 0 0 0 1 0 00000000000000000000000000000000
      15.0ns 1 0 0 1 0 00000000000000000000000000000000
      20.0ns 0 0 0 1 0 00000000000000000000000000000000
      25.0ns 1 0 0 1 0 00000000000000000000000000000000
      30.0ns 0 0 0 1 0 00000000000000000000000000000000
      35.0ns 1 0 0 1 0 00000000000000000000000000000000
      40.0ns 0 0 0 1 0 00000000000000000000000000000000
      45.0ns 1 0 0 1 0 00000000000000000000000000000000
      50.0ns 0 0 0 1 0 00000000000000000000000000000000
      55.0ns 1 0 0 1 0 00000000000000000000000000000000
      60.0ns 0 0 0 1 0 00000000000000000000000000000000
      65.0ns 1 0 0 1 0 00000000000000000000000000000000
      70.0ns 0 0 0 1 0 00000000000000000000000000000000
      75.0ns 1 0 0 1 0 00000000000000000000000000000000
      80.0ns 0 0 0 1 0 00000000000000000000000000000000
      85.0ns 1 0 0 1 0 00000000000000000000000000000000
      90.0ns 0 0 0 1 0 00000000000000000000000000000000
      95.0ns 1 0 0 1 0 00000000000000000000000000000000
     100.0ns 0 0 0 1 0 00000000000000000000000000000000
     105.0ns 1 0 0 1 0 00000000000000000000000000000000
     110.0ns 0 0 0 1 0 00000000000000000000000000000000
     115.0ns 1 0 0 1 0 00000000000000000000000000000000
     120.0ns 0 0 0 1 0 00000000000000000000000000000000
     125.0ns 1 0 0 1 0 00000000000000000000000000000000
     130.0ns 0 0 0 1 0 00000000000000000000000000000000
     135.0ns 1 0 0 1 0 00000000000000000000000000000000
     140.0ns 0 0 0 1 0 00000000000000000000000000000000
     145.0ns 1 0 0 1 0 00000000000000000000000000000000
     150.0ns 0 0 0 1 0 00000000000000000000000000000000
     155.0ns 1 0 0 1 0 00000000000000000000000000000000
     160.0ns 0 0 0 1 0 00000000000000000000000000000000
     165.0ns 1 0 0 1 0 00000000000000000000000000000000
